tt1781922,No Escape - Colpo di stato,No Escape,2015,2015-09-10,"Action, Thriller",103,"USA, Thailand","English, French, Thai, Khmer",John Erick Dowdle,"John Erick Dowdle, Drew Dowdle",Bold Films,"Owen Wilson, Lake Bell, Sterling Jerins, Claire Geare, Pierce Brosnan, Thanawut Ketsaro, Chatchawai Kamonsakpitak, Sahajak Boonthanakit, Tanapol Chuksrida, Nophand Boonyai, Kanarpat Phintiang, Jon Goldney, Duang Maidork, Suphornnaphat Jenselius, Barthélemy Son","In their new overseas house, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape from an environment where foreigners are being immediately executed.",$ 16200000,$ 27288872,$ 54418872
tt1783232,Fetih 1453,Fetih 1453,2012,2012-02-16,"Action, Drama, History",162,Turkey,Turkish,Faruk Aksoy,"Melih Esat Acil, Atilla Engin",Aksoy Film,"Devrim Evin, Ibrahim Celikkol, Dilek Serbest, Cengiz Coskun, Erden Alkan, Recep Aktug, Raif Hikmet Cam, Naci Adigüzel, Sedat Mert, Mustafa Atilla Kunt, Ozcan Aliser, Yilman Babaturk, Murat Sezal, Faik Aksoy, Huseyin Santur","After the death of his father Murat II, Mehmet II ascends to the Ottoman throne. After braving internal and external enemies, he decides to complete what he was destined to do - conquer Constantinople.",$ 18,$ 35730,$ 35797045
tt1784600,Rebirth,Rebirth,2011,2011-03-07,"Action, Drama",82,"France, Thailand","English, Thai",Jean-Marc Minéo,Jean-Marc Minéo,"Cercle, Le","Jonathan Patrick Foo, Caroline Ducey, Michaël Cohen, Aphiradi Phawaphutanon, Winai Kraibutr, Kowitch Wathana, Lioutsia Goubaidoullina, Julaluck Ismalone, Thiraphong Riawrukwong, Dom Hetrakul, Pream Busala-Khamvong, Sura Theerakon, Oliver Bever, Jaturong Kolimart, Howard Wang","After witnessing the brutal murder of his parents, a young boy is raised by a martial arts master who grooms him to be a lethal killer. Some 20 years later, it's time to take revenge on the assassins who destroyed his childhood.",EUR 1400000,$ 35784,$ 35784
tt1785635,The Vault - Nessuno è al sicuro,The Vault,2017,2017-09-01,"Crime, Horror, Mystery",91,USA,English,Dan Bush,"Dan Bush, Conal Byrne",Redwire Pictures,"James Franco, Scott Haze, Taryn Manning, Francesca Eastwood, Q'orianka Kilcher, Jeff Gum, Clifton Collins Jr., Keith Loneker, Jill Jane Clements, Michael Milford, Debbie Sherman, Conal Byrne, Lee Broda, Aleksander Vayshelboym, Anthony DiRocco",Two estranged sisters are forced to rob a bank in order to save their brother. But this is no ordinary bank.,$ 5000000,$ 5728,$ 346729
tt1786751,CBGB,CBGB,2013,2013-10-11,"Crime, Drama, Music",102,USA,English,Randall Miller,"Jody Savin, Randall Miller",Unclaimed Freight Productions,"Alan Rickman, Malin Akerman, Justin Bartha, Richard de Klerk, Johnny Galecki, Kyle Gallner, Ashley Greene, Rupert Grint, Estelle Harris, Taylor Hawkins, Ryan Hurst, Stana Katic, Joel David Moore, Ahna O'Reilly, Freddy Rodríguez","A look at the New York City punk-rock scene and the venerable nightclub, CBGB.",$ 5000000,$ 40400,$ 40400
tt1787988,Talaash,Talaash,2012,2012-11-30,"Crime, Drama, Mystery",140,India,"Hindi, English, Marathi, Tamil",Reema Kagti,"Farhan Akhtar, Anurag Kashyap",Aamir Khan Productions,"Aamir Khan, Nawazuddin Siddiqui, Rajkummar Rao, Kareena Kapoor, Rani Mukerji, Rajshri Deshpande, Sheeba Chaddha, Vikas Shrivastav, Vivan Bhatena, Subrat Dutta, Aditi Vasudev, Shernaz Patel, Suhaas Ahuja, Shivani Tanksale, Rudra Kaushish","Inspector Surjan Shekhawat, who is dealing with a depressing past, has to investigate a high profile murder case, deal with his crumbling marriage and use the help and solace of a prostitute by the name of Rosie.",$ 7395080,$ 2871956,$ 5277766
tt1788391,Kill List,Kill List,2011,2011-09-02,"Action, Crime, Horror",95,UK,"English, Swedish",Ben Wheatley,"Ben Wheatley, Amy Jump",Warp X,"Neil Maskell, MyAnna Buring, Harry Simpson, Michael Smiley, Emma Fryer, Struan Rodger, Esme Folley, Ben Crompton, Gemma Lise Thornton, Robin Hill, Zoe Thomas, Gareth Tunley, Jamelle Ola, Mark Kempner, Damien Thomas","Nearly a year after a botched job, a hitman takes a new assignment with the promise of a big payoff for three killings. What starts off as an easy task soon unravels, sending the killer into the heart of darkness.",GBP 500000,$ 29063,$ 450275
tt1790809,Pirati dei Caraibi - La vendetta di Salazar,Pirates of the Caribbean: Dead Men Tell No Tales,2017,2017-05-24,"Action, Adventure, Fantasy",129,"USA, Australia, UK, Canada","English, Spanish","Joachim Rønning, Espen Sandberg","Jeff Nathanson, Jeff Nathanson",Walt Disney Pictures,"Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites, Kaya Scodelario, Kevin McNally, Golshifteh Farahani, David Wenham, Stephen Graham, Angus Barnett, Martin Klebba, Adam Brown, Giles New, Orlando Bloom, Keira Knightley",Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.,$ 230000000,$ 172558876,$ 794878815
tt1790864,Maze Runner - Il labirinto,The Maze Runner,2014,2014-10-08,"Action, Mystery, Sci-Fi",113,"USA, UK",English,Wes Ball,"Noah Oppenheim, Grant Pierce Myers",Twentieth Century Fox,"Dylan O'Brien, Aml Ameen, Ki Hong Lee, Blake Cooper, Thomas Brodie-Sangster, Will Poulter, Dexter Darden, Kaya Scodelario, Chris Sheffield, Joe Adler, Alexander Flores, Jacob Latimore, Randall D. Cunningham, Patricia Clarkson, Don McManus","Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",$ 34000000,$ 102427862,$ 348319861
tt1790885,Zero Dark Thirty,Zero Dark Thirty,2012,2013-02-07,"Drama, History, Thriller",157,"USA, United Arab Emirates","English, Arabic, Urdu, Pushto, French",Kathryn Bigelow,Mark Boal,Columbia Pictures,"Jason Clarke, Reda Kateb, Jessica Chastain, Kyle Chandler, Jennifer Ehle, Harold Perrineau, Jeremy Strong, J.J. Kandel, Wahab Sheikh, Alexander Karim, Nabil Elouahabi, Aymen Hamdouchi, Simon Abkarian, Ali Marhyar, Parker Sawyers",A chronicle of the decade-long hunt for al-Qaeda terrorist leader,$ 40000000,$ 95720716,$ 132820716
