nm0003697,Florian Henckel von Donnersmarck,Florian Maria Georg Christian Graf Henckel von Donnersmarck,205,"May 2, 1973 in Cologne, North Rhine-Westphalia, Germany",1973-05-02,"Cologne, North Rhine-Westphalia, Germany",,
nm0003712,Anastas N. Michos,Anastas N. Michos,,"November 26, 1956 in USA",1956-11-26,USA,,
nm0003720,David Womark,David Womark,,,,,,
nm0003759,Ed Marx,Ed Marx,,,,,,
nm0003911,Brian Tyler,Brian Theodore Tyler,,,,,,
nm0003817,Michael Clarke Duncan,Michael Clarke Duncan,196,"December 10, 1957 in Chicago, Illinois, USA",1957-12-10,"Chicago, Illinois, USA",2012-09-03,"Los Angeles, California, USA  "
nm0003819,Kevin Kelly Brown,Kevin Kelly Brown,,,,,,
nm0003828,Martin Pope,Martin Pope,,"July 6, 1961",1961-07-06,,,
nm0003833,James D. Solomon,James D. Solomon,,,,,,
nm0003861,David Jensen,David Jensen,178,"September 23, 1952 in Pinckneyville, Illinois, USA",1952-09-23,"Pinckneyville, Illinois, USA",,
nm0003893,Hughes Winborne,Hughes Winborne,,,,,,
nm0003900,José Luis Alcaine,José Luis Alcaine,,"December 26, 1938 in Tangier, Morocco",1938-12-26,"Tangier, Morocco",,
nm0003909,Michael Lonsdale,Michael Edward Lonsdale-Crouch,185,"May 24, 1931 in Paris, France",1931-05-24,"Paris, France",,
nm0003946,Marius De Vries,Marius Van Wyk De Vries,,"1961 in London, England, UK","1961 in London, England, UK","London, England, UK",,
nm0003953,Matthew Huffman,Matthew Huffman,,1970,1970,,,
nm0003993,Toby Jaffe,Toby Jaffe,,,,,,
nm0004012,Simon Emanuel,Simon Emanuel,,"February 18, 1975 in Henley on Thames, England, UK",1975-02-18,"Henley on Thames, England, UK",,
nm0004332,Robert B. Weide,Robert B. Weide,,"June 20, 1959",1959-06-20,,,
nm0004051,Brian Cox,Brian Denis Cox,169,"June 1, 1946 in Dundee, Scotland, UK",1946-06-01,"Dundee, Scotland, UK",,
nm0004056,Andrew Stanton,Andrew Ayers Stanton,183,"December 3, 1965 in Boston, Massachusetts, USA",1965-12-03,"Boston, Massachusetts, USA",,
nm0004089,Matthew Irving,Matthew Irving,,"February 18, 1971 in Mountain Lakes, New Jersey, USA",1971-02-18,"Mountain Lakes, New Jersey, USA",,
nm0004090,Eric Alan Edwards,Eric Alan Edwards,,"August 10, 1953 in Portland, Oregon, USA",1953-08-10,"Portland, Oregon, USA",,
nm0004142,Michael Grady,Michael Grady,,,,,,
nm0004170,Bob Kane,Robert Kahn,179,"October 24, 1915 in New York City, New York, USA",1915-10-24,"New York City, New York, USA",1998-11-03,"Los Angeles, California, USA  "
nm0004217,André Øvredal,André Øvredal,,,,,,
nm0004234,Alfonso Gomez-Rejon,Alfonso Gomez-Rejon,,,,,,
nm0004244,Jacques Tati,Jacques Tatischeff,191,"October 9, 1907 in Le Pecq, Seine-et-Oise [now Yvelines], France",1907-10-09,"Le Pecq, Seine-et-Oise [now Yvelines], France",1982-11-04,"Paris, France  "
nm0004250,Quentin Lee,Quentin Lee,171,,,,,
nm0004253,Marc Pollon,Marc Pollon,,,,,,
nm0004266,Anne Hathaway,Anne Jacqueline Hathaway,173,"November 12, 1982 in Brooklyn, New York City, New York, USA",1982-11-12,"Brooklyn, New York City, New York, USA",,
nm0004267,Xavier Grobet,Xavier Grobet,,"October 12, 1964 in Mexico City, Distrito Federal, Mexico",1964-10-12,"Mexico City, Distrito Federal, Mexico",,
nm0004286,Clifton Collins Jr.,Clifton Craig Collins Jr.,173,"June 16, 1970 in Los Angeles, California, USA",1970-06-16,"Los Angeles, California, USA",,
nm0004303,Gavin Hood,Gavin Hood,185,"May 12, 1963 in Johannesburg, South Africa",1963-05-12,"Johannesburg, South Africa",,
nm0004306,George Miller,George Miliotis,170,"March 3, 1945 in Chinchilla, Queensland, Australia",1945-03-03,"Chinchilla, Queensland, Australia",,
nm0004307,Shane Salerno,Shane Salerno,,"November 27, 1972 in Memphis, Tennessee, USA",1972-11-27,"Memphis, Tennessee, USA",,
nm0004336,Tristan Oliver,Tristan Oliver,,,,,,
nm0004344,Michael Barrett,Michael Bradley Barrett,,"May 28, 1970 in Riverside, California, USA",1970-05-28,"Riverside, California, USA",,
nm0004347,Alain Goldman,Alain Goldman,,,,,,
nm0004348,Craig Haagensen,Craig Haagensen,,,,,,
nm0004363,Rakesh Roshan,Rakesh Roshanlal Nagrath,,"September 6, 1949 in Bombay, State of Bombay, India",1949-09-06,"Bombay, State of Bombay, India",,
nm0004365,Fred Williamson,Frederick Robert Williamson,191,"March 5, 1938 in Gary, Indiana, USA",1938-03-05,"Gary, Indiana, USA",,
nm0004395,Adam Scott,Adam Paul Scott,175,"April 3, 1973 in Santa Cruz, California, USA",1973-04-03,"Santa Cruz, California, USA",,
nm0004402,Dan Wool,Daniel Dixon Wool,,,,,,
nm0004410,Mark Neveldine,Mark Neveldine,,"May 11, 1973 in Watertown, New York, USA",1973-05-11,"Watertown, New York, USA",,
nm0004412,Ed Solomon,Edward James Solomon,,"September 15, 1960 in Saratoga, California, USA",1960-09-15,"Saratoga, California, USA",,
nm0004418,Kajol,Kajol Mukherjee,155,"August 5, 1974 in Bombay, Maharashtra, India",1974-08-05,"Bombay, Maharashtra, India",,
nm0004433,Shammi Kapoor,Shamsher Raj Kapoor,178,"October 21, 1931 in Bombay, Bombay Presidency, British India",1931-10-21,"Bombay, Bombay Presidency, British India",2011-08-14,"Mumbai, Maharashtra, India  "
nm0004436,Rajesh Roshan,Rajesh Roshan,,"May 24, 1955 in Mumbai, Maharashtra, India",1955-05-24,"Mumbai, Maharashtra, India",,
nm0004462,Jean-Louis Trintignant,Jean-Louis Trintignant,172,"December 11, 1930 in Piolenc, Vaucluse, France",1930-12-11,"Piolenc, Vaucluse, France",,
nm0004486,Bruno Ganz,Bruno Ganz,168,"March 22, 1941 in Zürich-Seebach, Switzerland",1941-03-22,"Zürich-Seebach, Switzerland",2019-02-16,"Zürich, Switzerland  "
nm0004487,Juhi Chawla,Juhi S. Chawla,158,"November 13, 1967 in Ludhiana, Punjab, India",1967-11-13,"Ludhiana, Punjab, India",,
nm0004488,Rick King,Richard King,,,,,,
